AL011851,            UNNAMED,     14,
19700723, 1800,  , TD, 15.0N, 106.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700724, 0000,  , TD, 15.4N, 107.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700724, 0600,  , TD, 15.6N, 108.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700724, 1200,  , TD, 15.8N, 109.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700724, 1800,  , TS, 16.0N, 110.2W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700725, 0000,  , TS, 16.5N, 111.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700725, 0600,  , TS, 17.5N, 111.4W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700725, 1200,  , TS, 18.6N, 111.7W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700725, 1800,  , TS, 19.4N, 112.2W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700726, 0000,  , TS, 20.3N, 112.6W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700726, 0600,  , TS, 20.8N, 112.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700726, 1200,  , TS, 21.3N, 113.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
EP091970,             IONE-1,      5,
19700724, 0000,  , TD, 18.0N, 106.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700724, 0600,  , TD, 18.5N, 107.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700724, 1200,  , TS, 19.1N, 107.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700724, 1800,  , TS, 19.8N, 107.3W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700725, 0000,  , TS, 21.0N, 107.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
EP081994,                LI ,     70,
19940731, 1800,  , TD, 13.1N, 125.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940801, 0000,  , TD, 12.9N, 126.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940801, 0600,  , TD, 12.7N, 128.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940801, 1200,  , TD, 12.6N, 130.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940801, 1800,  , TD, 12.5N, 132.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940802, 0000,  , TD, 12.4N, 133.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940802, 0600,  , TD, 12.2N, 135.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940802, 1200,  , TD, 12.1N, 136.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940802, 1800,  , TD, 11.8N, 137.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940803, 0000,  , TD, 11.5N, 139.1W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940803, 0600,  , TD, 11.1N, 140.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940803, 1200,  , TD, 11.0N, 140.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940803, 1800,  , TD, 10.9N, 142.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940804, 0000,  , TD, 10.7N, 143.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940804, 0600,  , TD, 10.5N, 145.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940804, 1200,  , TD, 10.3N, 146.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940804, 1800,  , TD, 10.1N, 147.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940805, 0000,  , TD,  9.7N, 149.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940805, 0600,  , TD,  9.7N, 150.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940805, 1200,  , TD,  9.9N, 152.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940805, 1800,  , TD, 10.5N, 154.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940806, 0000,  , TD, 11.0N, 155.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940806, 0600,  , TD, 11.6N, 155.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940806, 1200,  , TD, 12.2N, 156.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940806, 1800,  , TD, 12.6N, 157.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940807, 0000,  , TD, 13.0N, 158.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940807, 0600,  , TD, 13.4N, 159.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940807, 1200,  , TD, 13.5N, 160.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940807, 1800,  , TD, 13.5N, 161.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940808, 0000,  , TD, 13.5N, 162.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940808, 0600,  , TD, 13.5N, 163.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940808, 1200,  , TS, 13.5N, 164.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940808, 1800,  , TS, 13.5N, 166.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940809, 0000,  , TS, 13.6N, 167.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940809, 0600,  , TS, 13.6N, 168.2W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940809, 1200,  , TS, 13.6N, 169.1W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940809, 1800,  , TS, 13.6N, 170.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940810, 0000,  , TS, 13.5N, 171.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940810, 0600,  , TS, 13.6N, 171.6W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940810, 1200,  , TS, 13.7N, 172.2W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940810, 1800,  , TS, 13.9N, 172.7W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940811, 0000,  , TS, 13.9N, 173.3W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940811, 0600,  , TS, 13.8N, 174.2W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940811, 1200,  , TS, 13.6N, 175.1W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940811, 1800,  , TS, 13.3N, 176.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940812, 0000,  , TS, 13.0N, 176.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940812, 0600,  , TS, 12.7N, 177.9W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940812, 1200,  , HU, 12.6N, 178.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940812, 1800,  , TS, 12.6N, 179.9W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940813, 0000,  , TS, 12.9N, 178.9E,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940813, 0600,  , TS, 13.3N, 177.9E,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940813, 1200,  , TS, 13.8N, 177.0E,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940813, 1800,  , TS, 14.2N, 176.1E,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940814, 0000,  , TS, 14.7N, 175.1E,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940814, 0600,  , TS, 15.1N, 174.2E,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940814, 1200,  , TS, 15.6N, 173.3E,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940814, 1800,  , TS, 16.0N, 172.5E,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940815, 0000,  , TS, 16.5N, 171.7E,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940815, 0600,  , TS, 17.0N, 170.9E,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940815, 1200,  , TS, 17.5N, 170.3E,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940815, 1800,  , TD, 17.9N, 169.8E,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940816, 0000,  , TD, 18.1N, 169.5E,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940816, 0600,  , TD, 18.3N, 169.2E,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940816, 1200,  , TD, 18.5N, 169.0E,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940816, 1800,  , TD, 18.7N, 168.9E,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940817, 0000,  , TD, 18.8N, 168.8E,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940817, 0600,  , TD, 19.0N, 168.9E,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940817, 1200,  , TD, 19.1N, 169.2E,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940817, 1800,  , TD, 19.2N, 169.7E,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19940818, 0000,  , TD, 19.3N, 170.2E,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
